Nome,Level,Trofeus,Papel
arthur,13,5320,member
☆JOTTACLASH☆,13,5302,coLeader
KCG៛¤₪KauanFL₪¤,12,5302,elder
ㅤㅤ,13,5166,member
[H]n4,13,5072,member
Cold Fox,13,5034,member
CoCão'Flash✌,13,5007,member
cavaleiro verde,13,4997,elder
Pepemx,12,4949,member
Ramon_RBS,13,4931,member
Jr. Fênix,13,4927,leader
Samuel,13,4909,member
Raphael,13,4908,member
Maximus,13,4855,coLeader
♡Cibelle♡,13,4834,coLeader
Maves,13,4803,member
GéH BeLo,13,4794,coLeader
Lucas Anzai,13,4786,member
DARKSFIRE,11,4769,member
Roy Mustang,12,4705,member
lela,13,4695,coLeader
lord fire,12,4691,member
rogeriohara,12,4666,member
Galo,13,4643,member
prometheus,11,4616,member
"""Maicon XT""",12,4601,member
Ryan clash,13,4585,member
Careca Matador,12,4577,member
rafinha,13,4577,member
L&0n@rDo,12,4576,coLeader
vem tranquilo ✌,11,4570,member
Viléu,12,4557,member
Clash Williams,11,4539,member
Ezequiel thg,13,4535,member
igor,12,4535,member
⭐Wonder Woman⭐,11,4527,member
F0nsek,11,4501,coLeader
Grandi,13,4500,member
GoOd NiGhT,11,4492,member
marcos™,13,4479,member
Edusvieira,13,4479,elder
F&LIP&™,12,4478,member
SHAZAN CARAI,11,4412,member
Moraes.Ofc,11,4392,member
Fanatico,12,4374,member
THChmap,11,4330,elder
Uwais AL-Qorni,13,4322,member
⚔☯️KaKaShi☯️⚔,12,4304,member
Zé ninguém,12,4268,member
♠️BlackHam♠️,13,4254,member
